Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,SAC,2023-02-24,176,@,LAC,W 176-175 (2OT),290,65,111,.586,47,70,.671,18,41,.439,28,35,.800,176,59,98,.602,33,53,.623,26,45,.578,31,36,.861,175
2,LAC,2023-02-24,175,,SAC,L 175-176 (2OT),290,59,98,.602,33,53,.623,26,45,.578,31,36,.861,175,65,111,.586,47,70,.671,18,41,.439,28,35,.800,176
3,GSW,2023-04-09,157,@,POR,W 157-101,240,58,96,.604,31,47,.660,27,49,.551,14,16,.875,157,38,95,.400,29,60,.483,9,35,.257,16,24,.667,101
4,OKC,2023-02-04,153,,HOU,W 153-121,240,56,97,.577,35,51,.686,21,46,.457,20,23,.870,153,45,89,.506,35,59,.593,10,30,.333,21,27,.778,121
5,SAC,2022-11-15,153,,BRK,W 153-121,240,56,94,.596,36,53,.679,20,41,.488,21,25,.840,153,40,81,.494,29,53,.547,11,28,.393,30,33,.909,121
6,MIN,2023-04-08,151,@,SAS,W 151-131,240,56,101,.554,32,58,.552,24,43,.558,15,21,.714,151,50,95,.526,37,66,.561,13,29,.448,18,24,.750,131
7,MEM,2023-03-24,151,,HOU,W 151-114,240,57,93,.613,32,51,.627,25,42,.595,12,14,.857,151,47,87,.540,40,64,.625,7,23,.304,13,21,.619,114
8,MIL,2023-01-23,150,@,DET,W 150-130,240,55,98,.561,32,46,.696,23,52,.442,17,24,.708,150,43,87,.494,30,55,.545,13,32,.406,31,40,.775,130
9,OKC,2023-01-03,150,,BOS,W 150-117,240,58,98,.592,38,58,.655,20,40,.500,14,22,.636,150,40,88,.455,28,48,.583,12,40,.300,25,31,.806,117
10,MIN,2022-12-18,150,,CHI,W 150-126,240,57,87,.655,34,44,.773,23,43,.535,13,16,.813,150,46,88,.523,30,50,.600,16,38,.421,18,24,.750,126
11,MIL,2023-03-29,149,@,IND,W 149-136,240,58,93,.624,48,68,.706,10,25,.400,23,30,.767,149,53,101,.525,39,71,.549,14,30,.467,16,22,.727,136
12,PHI,2023-03-06,147,@,IND,W 147-143,240,48,82,.585,32,48,.667,16,34,.471,35,38,.921,147,53,90,.589,38,53,.717,15,37,.405,22,31,.710,143
13,POR,2023-01-23,147,,SAS,W 147-127,240,55,92,.598,35,59,.593,20,33,.606,17,22,.773,147,47,90,.522,34,63,.540,13,27,.481,20,26,.769,127
14,PHI,2023-01-10,147,,DET,W 147-116,240,54,89,.607,43,58,.741,11,31,.355,28,30,.933,147,36,89,.404,22,50,.440,14,39,.359,30,36,.833,116
15,DEN,2023-02-07,146,,MIN,W 146-112,240,58,93,.624,45,66,.682,13,27,.481,17,22,.773,146,40,85,.471,30,50,.600,10,35,.286,22,26,.846,112
