Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,IND,2023-11-21,157,@,ATL,W 157-152,240,57,94,.606,35,49,.714,22,45,.489,21,28,.750,157,57,95,.600,42,64,.656,15,31,.484,23,28,.821,152
2,BOS,2023-11-01,155,,IND,W 155-104,240,54,95,.568,34,60,.567,20,35,.571,27,28,.964,155,46,101,.455,41,64,.641,5,37,.135,7,12,.583,104
3,UTA,2024-01-03,154,,DET,W 154-148 (OT),265,53,103,.515,37,71,.521,16,32,.500,32,35,.914,154,56,105,.533,37,64,.578,19,41,.463,17,22,.773,148
4,NOP,2024-01-23,153,,UTA,W 153-124,240,60,104,.577,37,58,.638,23,46,.500,10,15,.667,153,43,92,.467,31,56,.554,12,36,.333,26,32,.813,124
5,ATL,2023-11-21,152,,IND,L 152-157,240,57,95,.600,42,64,.656,15,31,.484,23,28,.821,152,57,94,.606,35,49,.714,22,45,.489,21,28,.750,157
6,IND,2023-11-06,152,,SAS,W 152-111,240,55,95,.579,35,57,.614,20,38,.526,22,23,.957,152,40,94,.426,32,68,.471,8,26,.308,23,30,.767,111
7,LAC,2023-12-18,151,@,IND,W 151-127,240,56,98,.571,37,60,.617,19,38,.500,20,23,.870,151,49,95,.516,37,62,.597,12,33,.364,17,21,.810,127
8,IND,2024-01-05,150,,ATL,W 150-116,240,60,94,.638,41,55,.745,19,39,.487,11,13,.846,150,40,93,.430,30,51,.588,10,42,.238,26,30,.867,116
9,LAC,2024-02-05,149,@,ATL,W 149-144,240,52,89,.584,31,54,.574,21,35,.600,24,31,.774,149,51,95,.537,31,56,.554,20,39,.513,22,27,.815,144
10,DAL,2024-01-26,148,@,ATL,W 148-143,240,51,85,.600,32,50,.640,19,35,.543,27,32,.844,148,51,97,.526,36,63,.571,15,34,.441,26,30,.867,143
11,DET,2024-01-03,148,@,UTA,L 148-154 (OT),265,56,105,.533,37,64,.578,19,41,.463,17,22,.773,148,53,103,.515,37,71,.521,16,32,.500,32,35,.914,154
12,BRK,2024-01-29,147,,UTA,W 147-114,240,54,105,.514,33,60,.550,21,45,.467,18,19,.947,147,39,86,.453,30,59,.508,9,27,.333,27,34,.794,114
13,DAL,2023-12-06,147,,UTA,W 147-97,240,56,101,.554,34,52,.654,22,49,.449,13,19,.684,147,35,87,.402,23,54,.426,12,33,.364,15,18,.833,97
14,ATL,2023-11-22,147,,BRK,W 147-145 (OT),265,51,116,.440,33,67,.493,18,49,.367,27,29,.931,147,55,113,.487,40,78,.513,15,35,.429,20,24,.833,145
15,NOP,2023-12-17,146,@,SAS,W 146-110,240,55,98,.561,33,56,.589,22,42,.524,14,22,.636,146,40,94,.426,25,52,.481,15,42,.357,15,21,.714,110
16,MIL,2023-12-16,146,,DET,W 146-114,240,50,88,.568,31,46,.674,19,42,.452,27,32,.844,146,43,96,.448,37,68,.544,6,28,.214,22,26,.846,114
17,PHI,2023-12-11,146,,WAS,W 146-101,240,52,95,.547,32,49,.653,20,46,.435,22,25,.880,146,36,85,.424,27,54,.500,9,31,.290,20,31,.645,101
18,MIL,2023-12-05,146,,NYK,W 146-122,240,55,91,.604,32,53,.604,23,38,.605,13,19,.684,146,43,87,.494,36,64,.563,7,23,.304,29,33,.879,122
19,PHI,2023-11-06,146,,WAS,W 146-128,240,51,91,.560,39,60,.650,12,31,.387,32,36,.889,146,49,96,.510,35,62,.565,14,34,.412,16,20,.800,128
20,LAL,2024-01-27,145,@,GSW,W 145-144 (2OT),290,49,101,.485,40,74,.541,9,27,.333,38,43,.884,145,55,119,.462,32,61,.525,23,58,.397,11,16,.688,144
21,BOS,2024-01-13,145,,HOU,W 145-113,240,51,95,.537,27,48,.563,24,47,.511,19,25,.760,145,40,99,.404,33,69,.478,7,30,.233,26,30,.867,113
22,UTA,2024-01-12,145,,TOR,W 145-113,240,52,93,.559,31,50,.620,21,43,.488,20,26,.769,145,35,81,.432,18,47,.383,17,34,.500,26,37,.703,113
23,BOS,2023-12-23,145,@,LAC,W 145-108,240,49,94,.521,24,41,.585,25,53,.472,22,28,.786,145,41,89,.461,30,55,.545,11,34,.324,15,15,1.000,108
24,BRK,2023-11-22,145,@,ATL,L 145-147 (OT),265,55,113,.487,40,78,.513,15,35,.429,20,24,.833,145,51,116,.440,33,67,.493,18,49,.367,27,29,.931,147
25,ATL,2024-02-05,144,,LAC,L 144-149,240,51,95,.537,31,56,.554,20,39,.513,22,27,.815,144,52,89,.584,31,54,.574,21,35,.600,24,31,.774,149
26,GSW,2024-01-27,144,,LAL,L 144-145 (2OT),290,55,119,.462,32,61,.525,23,58,.397,11,16,.688,144,49,101,.485,40,74,.541,9,27,.333,38,43,.884,145
27,MIL,2023-12-27,144,@,BRK,W 144-122,240,52,89,.584,29,38,.763,23,51,.451,17,23,.739,144,45,101,.446,38,69,.551,7,32,.219,25,29,.862,122
28,DAL,2023-12-23,144,,SAS,W 144-119,240,52,100,.520,29,55,.527,23,45,.511,17,21,.810,144,44,98,.449,30,53,.566,14,45,.311,17,24,.708,119
29,IND,2023-12-20,144,,CHO,W 144-113,240,49,80,.613,31,41,.756,18,39,.462,28,30,.933,144,45,95,.474,37,64,.578,8,31,.258,15,19,.789,113
30,BOS,2023-12-20,144,@,SAC,W 144-119,240,51,92,.554,29,50,.580,22,42,.524,20,24,.833,144,43,91,.473,22,47,.468,21,44,.477,12,23,.522,119
31,LAC,2023-12-16,144,,NYK,W 144-122,240,50,88,.568,34,55,.618,16,33,.485,28,34,.824,144,44,94,.468,33,59,.559,11,35,.314,23,26,.885,122
32,IND,2023-12-02,144,@,MIA,W 144-129,240,56,85,.659,40,53,.755,16,32,.500,16,20,.800,144,48,89,.539,36,64,.563,12,25,.480,21,24,.875,129
