Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,GSW,2016-11-23,149,,LAL,1,240,53,86,0.616,34,50,0.68,19,36,0.528,24,35,0.686,149,40,93,0.43,32,73,0.438,8,20,0.4,18,22,0.818,106
2,GSW,2017-01-28,144,,LAC,1,240,57,92,0.62,40,58,0.69,17,34,0.5,13,16,0.813,144,36,82,0.439,24,54,0.444,12,28,0.429,14,22,0.636,98
3,BRK,2017-01-20,143,@,NOP,1,240,48,83,0.578,33,53,0.623,15,30,0.5,32,35,0.914,143,43,105,0.41,32,71,0.451,11,34,0.324,17,23,0.739,114
4,HOU,2017-02-25,142,,MIN,1,240,44,94,0.468,22,36,0.611,22,58,0.379,32,42,0.762,142,49,94,0.521,40,68,0.588,9,26,0.346,23,28,0.821,130
5,ATL,2017-01-29,142,,NYK,1,340,52,119,0.437,42,88,0.477,10,31,0.323,28,40,0.7,142,51,128,0.398,33,77,0.429,18,51,0.353,19,23,0.826,139
6,GSW,2016-12-05,142,,IND,1,240,54,104,0.519,40,67,0.597,14,37,0.378,20,26,0.769,142,35,85,0.412,32,70,0.457,3,15,0.2,33,35,0.943,106
7,BRK,2017-04-04,141,@,PHI,1,240,48,75,0.64,32,44,0.727,16,31,0.516,29,33,0.879,141,43,97,0.443,31,59,0.525,12,38,0.316,20,27,0.741,118
8,CLE,2017-02-06,140,@,WAS,1,265,49,92,0.533,30,54,0.556,19,38,0.5,23,28,0.821,140,50,99,0.505,38,70,0.543,12,29,0.414,23,26,0.885,135
9,DEN,2017-01-12,140,,IND,1,240,52,90,0.578,37,58,0.638,15,32,0.469,21,23,0.913,140,44,94,0.468,32,65,0.492,12,29,0.414,12,13,0.923,112
10,HOU,2016-12-30,140,,LAC,1,240,45,81,0.556,31,41,0.756,14,40,0.35,36,43,0.837,140,45,96,0.469,32,63,0.508,13,33,0.394,13,16,0.813,116
11,GSW,2017-04-02,139,,WAS,1,240,50,88,0.568,34,52,0.654,16,36,0.444,23,26,0.885,139,43,92,0.467,33,65,0.508,10,27,0.37,19,25,0.76,115
12,HOU,2017-03-15,139,,LAL,1,240,50,91,0.549,32,48,0.667,18,43,0.419,21,32,0.656,139,42,91,0.462,39,66,0.591,3,25,0.12,13,18,0.722,100
13,NYK,2017-01-29,139,@,ATL,0,340,51,128,0.398,33,77,0.429,18,51,0.353,19,23,0.826,139,52,119,0.437,42,88,0.477,10,31,0.323,28,40,0.7,142
14,GSW,2016-12-03,138,,PHO,1,240,49,78,0.628,35,57,0.614,14,21,0.667,26,34,0.765,138,41,91,0.451,30,59,0.508,11,32,0.344,16,21,0.762,109
15,HOU,2017-03-26,137,,OKC,1,240,50,79,0.633,30,40,0.75,20,39,0.513,17,21,0.81,137,47,94,0.5,36,64,0.563,11,30,0.367,20,28,0.714,125
16,PHO,2017-02-15,137,,LAL,1,240,49,88,0.557,39,64,0.609,10,24,0.417,29,34,0.853,137,35,93,0.376,26,67,0.388,9,26,0.346,22,28,0.786,101
17,MIL,2017-02-04,137,@,PHO,1,240,52,82,0.634,45,65,0.692,7,17,0.412,26,35,0.743,137,38,91,0.418,27,63,0.429,11,28,0.393,25,30,0.833,112
18,HOU,2017-01-15,137,@,BRK,1,240,46,92,0.5,25,48,0.521,21,44,0.477,24,32,0.75,137,41,93,0.441,26,49,0.531,15,44,0.341,15,19,0.789,112
19,CLE,2016-11-23,137,,POR,1,240,48,90,0.533,27,54,0.5,21,36,0.583,20,27,0.741,137,47,90,0.522,34,61,0.557,13,29,0.448,18,19,0.947,125
20,DET,2017-03-04,136,@,PHI,1,240,54,95,0.568,44,72,0.611,10,23,0.435,18,21,0.857,136,43,88,0.489,29,54,0.537,14,34,0.412,6,7,0.857,106
21,ORL,2016-12-20,136,@,MIA,1,290,52,105,0.495,41,83,0.494,11,22,0.5,21,31,0.677,136,50,108,0.463,38,78,0.487,12,30,0.4,18,26,0.692,130
22,HOU,2017-04-09,135,@,SAC,1,240,45,80,0.563,27,37,0.73,18,43,0.419,27,31,0.871,135,47,94,0.5,38,63,0.603,9,31,0.29,25,30,0.833,128
23,CLE,2017-04-02,135,,IND,1,290,47,95,0.495,29,52,0.558,18,43,0.419,23,33,0.697,135,48,105,0.457,32,64,0.5,16,41,0.39,18,20,0.9,130
24,CLE,2017-03-03,135,@,ATL,1,240,47,86,0.547,22,40,0.55,25,46,0.543,16,20,0.8,135,49,91,0.538,39,65,0.6,10,26,0.385,22,30,0.733,130
25,WAS,2017-02-06,135,,CLE,0,265,50,99,0.505,38,70,0.543,12,29,0.414,23,26,0.885,135,49,92,0.533,30,54,0.556,19,38,0.5,23,28,0.821,140
26,GSW,2016-12-17,135,,POR,1,240,51,87,0.586,37,59,0.627,14,28,0.5,19,26,0.731,135,34,86,0.395,26,58,0.448,8,28,0.286,14,20,0.7,90
27,DEN,2017-04-04,134,@,NOP,1,240,53,99,0.535,40,69,0.58,13,30,0.433,15,21,0.714,134,51,100,0.51,37,68,0.544,14,32,0.438,15,17,0.882,131
28,SAS,2017-01-12,134,,LAL,1,240,49,81,0.605,39,60,0.65,10,21,0.476,26,29,0.897,134,35,85,0.412,29,65,0.446,6,20,0.3,18,25,0.72,94
29,HOU,2016-12-07,134,,LAL,1,240,51,94,0.543,36,58,0.621,15,36,0.417,17,21,0.81,134,34,87,0.391,29,67,0.433,5,20,0.25,22,27,0.815,95
30,LAC,2017-03-29,133,,WAS,1,240,47,83,0.566,35,53,0.66,12,30,0.4,27,37,0.73,133,46,93,0.495,33,59,0.559,13,34,0.382,19,29,0.655,124
31,LAC,2017-03-21,133,@,LAL,1,240,45,84,0.536,30,51,0.588,15,33,0.455,28,32,0.875,133,43,92,0.467,37,72,0.514,6,20,0.3,17,27,0.63,109
32,HOU,2017-02-11,133,,PHO,1,240,42,85,0.494,24,49,0.49,18,36,0.5,31,39,0.795,133,37,94,0.394,29,72,0.403,8,22,0.364,20,26,0.769,102
33,GSW,2017-02-02,133,@,LAC,1,240,52,99,0.525,38,65,0.585,14,34,0.412,15,18,0.833,133,40,80,0.5,30,55,0.545,10,25,0.4,30,39,0.769,120
34,LAC,2016-12-10,133,,NOP,1,240,54,94,0.574,37,58,0.638,17,36,0.472,8,9,0.889,133,40,83,0.482,32,64,0.5,8,19,0.421,17,26,0.654,105
35,GSW,2016-11-13,133,,PHO,1,240,45,87,0.517,29,54,0.537,16,33,0.485,27,31,0.871,133,46,90,0.511,38,66,0.576,8,24,0.333,20,26,0.769,120
36,DEN,2017-02-13,132,,GSW,1,240,48,88,0.545,24,47,0.511,24,41,0.585,12,16,0.75,132,45,92,0.489,37,60,0.617,8,32,0.25,12,13,0.923,110
37,CLE,2017-02-08,132,@,IND,1,240,46,84,0.548,30,48,0.625,16,36,0.444,24,26,0.923,132,41,82,0.5,28,57,0.491,13,25,0.52,22,26,0.846,117
38,TOR,2017-01-13,132,,BRK,1,240,52,97,0.536,41,69,0.594,11,28,0.393,17,21,0.81,132,40,86,0.465,23,50,0.46,17,36,0.472,16,20,0.8,113
39,DEN,2016-12-15,132,,POR,1,240,43,84,0.512,28,53,0.528,15,31,0.484,31,35,0.886,132,41,88,0.466,33,65,0.508,8,23,0.348,30,36,0.833,120
