Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2017-18,HOU,65,82,65,17,.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213,.460,.558,.362,.781,.590,.551
2,2017-18,TOR,59,82,59,23,.720,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156,.472,.541,.358,.794,.575,.539
3,2017-18,GSW,58,82,58,24,.707,19730,3509,6981,2583,4611,926,2370,1360,1668,691,2877,3568,2402,656,612,1267,1607,9304,.503,.560,.391,.815,.603,.569
4,2017-18,BOS,55,82,55,27,.671,19805,3141,6975,2202,4483,939,2492,1308,1697,767,2878,3645,1842,604,373,1149,1618,8529,.450,.491,.377,.771,.552,.518
5,2017-18,PHI,52,82,52,30,.634,19780,3349,7098,2448,4653,901,2445,1405,1868,893,2996,3889,2221,682,420,1353,1811,9004,.472,.526,.369,.752,.568,.535
6,2017-18,CLE,50,82,50,32,.610,19730,3311,6950,2330,4314,981,2636,1488,1909,694,2761,3455,1916,582,312,1126,1524,9091,.476,.540,.372,.779,.584,.547
7,2017-18,POR,49,82,49,33,.598,19755,3222,7132,2377,4824,845,2308,1372,1715,835,2893,3728,1599,573,423,1109,1599,8661,.452,.493,.366,.800,.549,.511
8,2017-18,IND,48,82,48,34,.585,19755,3345,7083,2604,5073,741,2010,1225,1573,788,2684,3472,1819,721,340,1089,1544,8656,.472,.513,.369,.779,.557,.525
9,2017-18,NOP,48,82,48,34,.585,19955,3500,7241,2663,4929,837,2312,1324,1716,712,2924,3636,2195,657,485,1223,1570,9161,.483,.540,.362,.772,.573,.541
10,2017-18,OKC,48,82,48,34,.585,19830,3271,7221,2390,4730,881,2491,1421,1985,1024,2671,3695,1750,743,412,1147,1653,8844,.453,.505,.354,.716,.546,.514
11,2017-18,UTA,48,82,48,34,.585,19755,3139,6797,2252,4372,887,2425,1375,1766,740,2807,3547,1839,708,420,1205,1608,8540,.462,.515,.366,.779,.564,.527
12,2017-18,MIN,47,82,47,35,.573,19805,3365,7063,2707,5218,658,1845,1592,1980,848,2593,3441,1861,689,345,1021,1495,8980,.476,.519,.357,.804,.566,.523
13,2017-18,SAS,47,82,47,35,.573,19730,3202,6999,2506,5022,696,1977,1324,1715,849,2777,3626,1868,628,460,1078,1408,8424,.457,.499,.352,.772,.543,.507
14,2017-18,DEN,46,82,46,36,.561,19880,3338,7102,2398,4566,940,2536,1404,1830,902,2748,3650,2059,627,404,1227,1533,9020,.470,.525,.371,.767,.570,.536
15,2017-18,MIA,44,82,44,38,.537,19930,3184,6997,2281,4491,903,2506,1209,1601,763,2801,3564,1862,620,437,1179,1648,8480,.455,.508,.360,.755,.551,.520
16,2017-18,MIL,44,82,44,38,.537,19830,3257,6807,2539,4783,718,2024,1499,1915,688,2579,3267,1905,722,443,1134,1752,8731,.478,.531,.355,.783,.571,.531
17,2017-18,WAS,43,82,43,39,.524,19855,3275,7018,2461,4845,814,2173,1378,1786,823,2713,3536,2065,645,353,1196,1746,8742,.467,.508,.375,.772,.560,.525
18,2017-18,LAC,42,82,42,40,.512,19705,3302,7004,2525,4808,777,2196,1556,2095,832,2766,3598,1832,628,373,1204,1638,8937,.471,.525,.354,.743,.564,.527
19,2017-18,DET,39,82,39,43,.476,19805,3208,7129,2322,4756,886,2373,1207,1621,830,2756,3586,1868,628,317,1103,1508,8509,.450,.488,.373,.745,.543,.512
20,2017-18,CHO,36,82,36,46,.439,19780,3197,7106,2373,4873,824,2233,1656,2216,827,2901,3728,1770,559,373,1041,1409,8874,.450,.487,.369,.747,.549,.508
21,2017-18,LAL,35,82,35,47,.427,19905,3338,7248,2516,4864,822,2384,1364,1910,876,2927,3803,1949,633,388,1295,1736,8862,.461,.517,.345,.714,.548,.517
22,2017-18,NYK,29,82,29,53,.354,19830,3334,7193,2661,5279,673,1914,1225,1557,859,2752,3611,1912,552,421,1207,1682,8566,.464,.504,.352,.787,.544,.510
23,2017-18,BRK,28,82,28,54,.341,19855,3136,7114,2095,4190,1041,2924,1428,1850,792,2852,3644,1941,512,390,1245,1688,8741,.441,.500,.356,.772,.551,.514
24,2017-18,CHI,27,82,27,55,.329,19855,3170,7285,2264,4736,906,2549,1194,1574,790,2873,3663,1923,626,289,1147,1571,8440,.435,.478,.355,.759,.529,.497
25,2017-18,SAC,27,82,27,55,.329,19755,3179,7063,2441,5096,738,1967,1008,1371,777,2578,3355,1768,643,340,1125,1639,8104,.450,.479,.375,.735,.529,.502
26,2017-18,ORL,25,82,25,57,.305,19730,3182,7042,2338,4637,844,2405,1271,1678,722,2692,3414,1921,622,400,1192,1579,8479,.452,.504,.351,.757,.545,.512
27,2017-18,ATL,24,82,24,58,.293,19705,3130,7015,2213,4471,917,2544,1298,1654,743,2693,3436,1946,638,348,1276,1606,8475,.446,.495,.360,.785,.547,.512
28,2017-18,DAL,24,82,24,58,.293,19805,3128,7042,2161,4354,967,2688,1167,1530,666,2717,3383,1858,578,310,1008,1578,8390,.444,.496,.360,.763,.544,.513
29,2017-18,MEM,22,82,22,60,.268,19705,3013,6788,2255,4636,758,2152,1361,1732,779,2544,3323,1767,613,396,1227,1900,8145,.444,.486,.352,.786,.539,.500
30,2017-18,PHO,21,82,21,61,.256,19705,3153,7141,2390,4855,763,2286,1453,1962,842,2776,3618,1743,569,370,1289,1807,8522,.442,.492,.334,.741,.532,.495
31,2016-17,GSW,67,82,67,15,.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,.495,.557,.383,.788,.597,.563
32,2016-17,SAS,61,82,61,21,.744,19805,3222,6864,2469,4937,753,1927,1440,1806,821,2777,3598,1954,655,484,1101,1498,8637,.469,.500,.391,.797,.564,.524
33,2016-17,HOU,55,82,55,27,.671,19780,3305,7152,2124,3846,1181,3306,1667,2177,892,2746,3638,2070,670,352,1240,1634,9458,.462,.552,.357,.766,.583,.545
34,2016-17,BOS,53,82,53,29,.646,19755,3168,6978,2183,4236,985,2742,1536,1903,744,2698,3442,2069,617,340,1088,1686,8857,.454,.515,.359,.807,.567,.525
35,2016-17,CLE,51,82,51,31,.622,19880,3275,6963,2208,4184,1067,2779,1431,1913,766,2821,3587,1858,539,327,1121,1486,9048,.470,.528,.384,.748,.580,.547
36,2016-17,LAC,51,82,51,31,.622,19755,3242,6820,2401,4575,841,2245,1586,2128,738,2790,3528,1848,612,347,1062,1626,8911,.475,.525,.375,.745,.574,.537
