,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,112.55855982765759,0.0,103.72865046908828,124.15340074248603,0.0,138.9778516903585,0.0,116.54391656489521,0.0,123.95177570937344,0.0,143.31431195479647,130.27899493798049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.658892291107,130.47556875818324,0.0,106.18542848340071,0.0,124.35099763999142,0.0,0.0
BOS,120.2548716107453,0.0,136.13588419991132,0.0,0.0,0.0,118.43124057164957,0.0,110.95872197375584,0.0,0.0,131.47165378429725,98.60191789980775,108.5778831801145,133.7852752385492,138.2081774613351,0.0,0.0,121.12842908515928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.26136481470084
BRK,0.0,104.6281299772442,0.0,0.0,0.0,100.38197950458677,108.60337926223188,0.0,101.53135685774487,0.0,102.44454465782331,0.0,114.86359993754758,0.0,0.0,0.0,0.0,104.71570634822477,0.0,0.0,0.0,0.0,135.9393603833584,121.90819240574615,0.0,0.0,131.85918584618213,0.0,142.7940931139122,0.0
CHO,127.82722583059365,0.0,0.0,0.0,117.41742657598584,0.0,0.0,0.0,100.76114689580953,108.41717949708864,0.0,107.75992799548331,0.0,112.7100010226543,118.39027556952048,0.0,87.4407239046896,129.97917575779883,0.0,101.27253970247662,104.83016092295044,0.0,0.0,0.0,0.0,0.0,0.0,123.55324664268088,123.81255826577451,0.0
CHI,134.00684524585793,0.0,0.0,124.88944463082132,0.0,113.29592971745254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.24975787769435,125.78480192749342,0.0,0.0,136.64788110841542,0.0,0.0,0.0,126.56190011980905,0.0,121.08377593015827,109.2232039948052,109.19355158036709,0.0,109.56763936594128,0.0,0.0
CLE,0.0,0.0,124.68498506885514,0.0,116.53295628080832,0.0,0.0,0.0,0.0,133.34327559511019,0.0,0.0,121.84233555248251,0.0,109.80572598844554,0.0,112.54260998663887,0.0,0.0,0.0,0.0,139.87607470574315,128.19128832616812,0.0,0.0,138.60276186385775,116.53418109610946,129.43974706675758,0.0,112.71324569655538
DAL,143.83721713407735,109.47425599060044,120.78319749724855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.59873729389534,94.61796723980059,0.0,129.24911819631126,140.97799573739297,133.91819930671076,123.69450558764923,110.92454078257772,0.0,116.76896520770454,113.87916122107458,0.0,0.0,100.85666814771861
DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.26616043194872,0.0,0.0,106.61524034151847,0.0,0.0,93.03602448017496,108.12610964420023,0.0,121.7112751398494,0.0,133.0682781883489,101.75859309439349,0.0,0.0,0.0,115.24332402140553
HOU,107.94641452322261,102.34985561372307,99.61567087929684,133.70229107328572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.67024183413415,0.0,124.5346606097381,114.7746344672145,0.0,0.0,89.60212390219623,106.39491719904944,115.34521174085299,0.0,0.0,0.0,0.0,140.6077288442269,0.0,0.0,118.52078882117115,0.0,0.0
DET,0.0,0.0,0.0,115.57680455821713,0.0,126.05106521100258,0.0,0.0,0.0,0.0,0.0,0.0,115.15129580058226,106.7215269629041,0.0,0.0,108.5944944805807,0.0,0.0,0.0,125.99833023489417,107.40793968974724,0.0,91.9899214944548,137.6409079166321,133.72072794601138,0.0,0.0,0.0,104.6207497820401
GSW,131.69991110439565,0.0,113.94342211941573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.43432917046906,121.46469828470724,134.69286122359222,122.10262481332781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.86697018174604,109.90389091859105,0.0,133.89732728494224,0.0,0.0,129.76833606590642,0.0
IND,0.0,126.37585325002216,0.0,111.49744994032116,0.0,0.0,0.0,0.0,135.75559629539308,0.0,108.52932732504676,0.0,0.0,0.0,123.46755226148034,0.0,0.0,0.0,0.0,117.69427504864603,0.0,0.0,122.47341427750783,118.30905028619924,0.0,113.28390923346365,0.0,120.46478539245908,0.0,0.0
