,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,103.94589285714285,0.0,95.44132653061224,101.48735294117647,0.0,102.89409302325582,0.0,104.68156862745099,0.0,101.8176673835117,0.0,100.47845050215209,105.9265156794425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1996607142857,98.86908424908422,0.0,100.76712174940899,0.0,101.32608695652173,0.0,0.0
BOS,103.94589285714285,0.0,93.46700176093793,0.0,0.0,0.0,100.48024442335073,0.0,104.54338148148149,0.0,0.0,98.12001012145748,97.3611893609903,96.70477718360071,97.91810030395136,91.51287255717256,0.0,0.0,97.41726272784415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.90080103359173
BRK,0.0,93.46700176093793,0.0,0.0,0.0,94.63850032530904,98.52363777893099,0.0,104.40124438454627,0.0,95.66151162790698,0.0,99.24815177478581,0.0,0.0,0.0,0.0,89.7668585526316,0.0,0.0,0.0,0.0,100.04460784313726,98.43472996515679,0.0,0.0,93.2813282674772,0.0,102.94543478260869,0.0
CHO,95.44132653061224,0.0,0.0,0.0,93.68285714285715,0.0,0.0,0.0,103.2143868980963,97.77048295454546,0.0,97.38881585192216,0.0,104.69346014492754,97.13635638297872,0.0,96.06507843137256,98.4773131955485,0.0,90.84397435897436,101.11593750000002,0.0,0.0,0.0,0.0,0.0,0.0,94.6960142118863,98.53604651162793,0.0
CHI,101.48735294117647,0.0,0.0,93.68285714285715,0.0,92.6776454033771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.34375844594594,93.81101547388782,0.0,0.0,94.40322012578618,0.0,0.0,0.0,85.33373779768039,0.0,93.3238157894737,95.21786231884057,105.31757446808508,0.0,97.65657142857144,0.0,0.0
CLE,0.0,0.0,94.63850032530904,0.0,92.6776454033771,0.0,0.0,0.0,0.0,95.99284210526315,0.0,0.0,96.84646922183508,0.0,98.35552657004831,0.0,101.29093853820598,0.0,0.0,0.0,0.0,90.07973684210526,94.39018952062429,0.0,0.0,98.12214285714283,100.39972727272728,91.93466666666666,0.0,101.14161764705881
DAL,102.89409302325582,100.48024442335073,98.52363777893099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.99410256410256,91.94870967741936,0.0,94.39135964912282,103.56226107226108,97.8209090909091,95.39631484794275,98.265,0.0,98.48507246376812,101.86235897435898,0.0,0.0,111.04868131868132
DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.00808897876642,0.0,0.0,97.51378174603175,0.0,0.0,90.28760683760682,92.4846,0.0,91.19943889541715,0.0,87.15058930484653,100.21310988372092,0.0,0.0,0.0,98.05340219014435
HOU,104.68156862745099,104.54338148148149,104.40124438454627,103.2143868980963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2335606060606,0.0,108.40355555555556,98.45380952380953,0.0,0.0,100.4440476190476,93.04955782312925,91.03108695652173,0.0,0.0,0.0,0.0,93.16699805679183,0.0,0.0,100.43618157773157,0.0,0.0
DET,0.0,0.0,0.0,97.77048295454546,0.0,95.99284210526315,0.0,0.0,0.0,0.0,0.0,0.0,100.4939136904762,104.00900657894736,0.0,0.0,104.05684057971014,0.0,0.0,0.0,95.23935735996525,92.17195701357464,0.0,108.70756097560975,92.99560860026328,99.46102002503129,0.0,0.0,0.0,99.40666666666668
